ID,FirstName,LastName,Username,Password,Address,Photo,ConstituencyID,IsApproved
1,Surendhar,Balamurugan,Surendhar,UmV5bmEyNCM=,"Plot No 53, Ganapathy Nagar,
Guduvancherry
",,1,1
2,Priyadharshni,Sunaikili,priya,UmV5bmEyNCM=,"Plot No 52, Ganapathy Nagar,Guduvancherry",,3,0
3,Aarav,Sharma,Aarav,UmV5bmEyNCM=,"12A, Swarg Apartment, Patel Nagar, Delhi 110001",,11,0
4,Neha,Patel,Neha,UmV5bmEyNCM=,"45, Lake View Road, Powai, Mumbai 400076",,1,1
5,Arjun,Khan,Arjun,UmV5bmEyNCM=,"B-302, Tulsi Vihar, Bannerghatta Road, Bangalore 560034",,12,1
6,Ananya,Reddy,Ananya,UmV5bmEyNCM=,"7/14, Green Avenue, DLF Phase 4, Gurgaon 122002",,15,1
7,Rohan,Singh,Rohan,UmV5bmEyNCM=,"32, Surya Nagar, Anna Salai, Chennai 600028",,1,1
8,Priya,Desai,Priya,UmV5bmEyNCM=,"C-1201, Silver Springs, Kondapur, Hyderabad 500084",,17,1
9,Aditya,Choudhary,Aditya,UmV5bmEyNCM=,"14, Rose Garden Street, Model Town, Ludhiana 141002",,1,1
10,Aisha,Mehta,Aisha,UmV5bmEyNCM=,"H-56, Shanti Niketan, Gandhinagar, Ahmedabad 380009",,1,0
11,Virat,Kumar,Virat,UmV5bmEyNCM=,"3/18, Beach View Apartments, Juhu, Mumbai 400049",,18,0
12,Kavya,Joshi,Kavya,UmV5bmEyNCM=,"22, Himalaya Residency, MG Road, Pune 411001",,11,0
13,Siddharth,Rao,Siddharth,UmV5bmEyNCM=,"89, Green Park Colony, Bhopal 462016",,1,0
14,Ria,Verma,Ria,UmV5bmEyNCM=,"D-405, Harmony Towers, Whitefield, Bangalore 560066",,3,0
15,Akshay,Kapoor,Akshay,UmV5bmEyNCM=,"56, Sunshine Enclave, Velachery, Chennai 600042",,3,1
16,Ayesha,Naidu,Ayesha,UmV5bmEyNCM=,"17, Silver Oak Avenue, Viman Nagar, Pune 411014",,3,1
17,Aryan,Sinha,Aryan,UmV5bmEyNCM=,"A-301, Blue Sky Apartments, Secunderabad 500003",,1,1
18,Zara,Malhotra,Zara,UmV5bmEyNCM=,"40, Emerald Gardens, Malad West, Mumbai 400064",,1,1
19,Pranav,Banerjee,Pranav,UmV5bmEyNCM=,"8, Jasmine Street, Koramangala, Bangalore 560095",,1,1
